"LabCode/Ref","Site (from main datasheet + 14c-palaeolithic)","Site_ID (from main datasheet)","Layer/Context (from main datasheet)","Additional info on layer/context not originally in the datasheet","TaxUnit (from main datasheet)","Conv_C14_date","Conv_std","AMS_C14_date","AMS_Pm/Std","OSL/TL date","Std-dev","Dated material","Dated species","Informaton on pretreatment","Source (Database/Literature)","Org. Lit. Reference (if given)","Other comments/observation",
"GrN-18376","Lapa dos Coelhos","LapadosCoelhos3,LapadosCoelhosUS3","SU 3",,"Final Magdalenian",11660,60,,,,,"bone","Cervus",,"Radiocarbon Palaeolithic Europe Database v27","Aubry T e.a..  2006. ERAUL 115:  135-145. T. Aubry et al. / Journal of Anthropological Archaeology xxx (2012) xxx–xx",,
"OxA-25290","Kůlna Cave","Kulna6","layers 5 and 6",,"Older Magdalenian",,,12555,60,,,"bone, Tibia","Equus sp.",,"Radiocarbon Palaeolithic Europe Database v27","Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216. Nerudova Z. e.a.  2014. Archäologisches korrespondenzblatt 44: 312.","K-4577/66, from G1, 36-37N K2011011",
"GrA-11665 (LYON-790)","Le Closeau","LeCloseauLocus46","lower",,"Ancient Azilian",,,12360,60,,,"femur fragment","Cervid",,"Radiocarbon Palaeolithic Europe Database v27","Mevel L. 2013. BSPF 110: 657-689.",,
"OxA-14476","Sun Hole (2)","SunHole",,,"Late? Upper Palaeolithic (Creswellian)",,,12610,90,,,"fractured right P4","Equus ferus",,"Radiocarbon Palaeolithic Europe Database v27","Richards M., Hedges R. 2000. JAS 27: 1-89. Otte M., 1997. In Fagnart & Thevenin, Le Tardiglaciaire en Europe du Nord-ouest: 363. Jacobi R.M.2009. QSR 28: 1895-1913.",,
"OxA-25285","Kůlna Cave","Kulna4",4,,"Magdalenian, Epi-Magdalenian",,,11770,55,,,"Metatarsus"," Alces alces, ",,"Radiocarbon Palaeolithic Europe Database v27","Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162.. 311. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216.  Nerudova Z. e.a. Archäologisches korrespondenzblatt 44 ·   2014; 372","K+130/61 fromA, 1a=T/XIII",
"OxA-25284","Kůlna Cave","Kulna4",4,,"Magdalenian, Epi-Magdalenian",,,11820,50,,,"Metatarsus","Alces alces,",,"Radiocarbon Palaeolithic Europe Database v27","Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162.. 311. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216.  Nerudova Z. e.a. Archäologisches korrespondenzblatt 44 ·   2014; 372","K2011003from A, 7f=P/VII, K-215/61",
"OxA-25286","Kůlna Cave","Kulna4",4,,"Magdalenian, Epi-Magdalenian",,,11070,50,,,"tarsus","Equus qp.,,",,"Radiocarbon Palaeolithic Europe Database v27","Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162.. 311. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216.  Nerudova Z. e.a. Archäologisches korrespondenzblatt 44 ·   2014; 372"," K2011005, from A, 6f=P/VIII",
"Sanu-21924","Nerja","NA","Mina 16",,"Upper Magdalenian",,,12231,55,,,"kernel husk","Pinus pinea",,"Radiocarbon Palaeolithic Europe Database v27","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris. Jorda Pardo J. e. a. 2008. UNED1: 239-256. Alvarez Fernandez E. 2013. QI, ip",,
"R-1146Aa","Riparo di Romagnano","RomagnanoLocIIIlayerAE","AE",,"Early Mesolithic",9580,250,,,,,"?",,,"Radiocarbon Palaeolithic Europe Database v27","Broglio, 1980. F. Fontana et al. / Quaternary International 423 (2016) 252-262.",,
"AAR-16184","Friesack 4 (Schichtkomplex 1)",,,,"Epi Ahrensburgian",,,9718,37,,,"1977:7/M02 II D C2W 2 R radius diaphysis ","Human, female",,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"OZQ694-U1","Friesack 4 (Schichtkomplex 1)",,,,"Epi Ahrensburgian",,,14130,90,,,"adhesive material, contaminated by shell",,,"Radiocarbon Palaeolithic Europe Database v27","Gob 1990. Yates A.B. e.a. 2015. JAS 61: 45-58. J Meadows et al. Radiocarbon, Vol 60, Nr 5, 2018, p 1621-1636,",,
"KIA-49735","Friesack 27a","Friesack27a",,"B5n5-1","Maglemose",,,9488,45,,,"bone","Capreolus capreolus",,"Groß 2017",,,
"KN-5843 ","Friesack 27a","Friesack27a",,,"Maglemose",,,9480,60,,,"charcoal","Salix",,"Groß 2017",,,
"KIA-46298","Friesack 27a","Friesack27a",,,"Maglemose",,,9565,40,,,"bone","Sus scrofa",,"Groß 2017",,,
"KN-5845(?) ","Friesack 27a","Friesack27a",,,"Maglemose",,,9530,55,,,"charcoal","Pinus sylvestris",,"Groß 2017",,,
"Bln-3215","Friesack 27a","Friesack27a",,,"Maglemose",,,9400,70,,,"peat",,,"Groß 2017",,,
"KN-5845","Friesack 27a","Friesack27a",,,"Maglemose",,,9458,64,,,"wood","Pinus sylvestris",,"Groß 2017",,,
"KIA-46296","Friesack 27a","Friesack27a",,,"Maglemose",,,9775,45,,,"bone","Equus ferus",,"Groß 2017",,,
"KN-5846","Friesack 27a","Friesack27a",,,"Maglemose",,,9400,60,,,"bark",,,"Groß 2017",,,
"KIA-49733","Friesack 27a","Friesack27a",,,"Maglemose",,,9635,32,,,"bone","Castor fiber",,"Groß 2017",,,
"KIA-49734","Friesack 27a","Friesack27a",,,"Maglemose",,,9565,32,,,"bone","Capreolus capreolus",,"Groß 2017",,,
"KN-5848","Friesack 27a","Friesack27a",,,"Maglemose",,,9545,50,,,"charcoal","Pinus sylvestris",,"Groß 2017",,,
"KIA-46297","Friesack 27a","Friesack27a",,,"Maglemose",,,9645,65,,,"bone","Bos primignius",,"Groß 2017",,,
,"Alizay","Alizay","single layer",,"Belloisian",9860,40,,,,,"antler","reindeer",,,"Bemilli 2017",,
"A/AV/B/7","Aveline's Hole",,"outer chamber', northern side, unclear",,"Creswellian/Late Magdalenian",,,12535,55,,,"antler","reindeer",,"Steevens et al. 2007","Steevens et al. 2007",,
"OxA-4198","Bois Laiterie cave","BoisLaiterie","strata YSS+BSC",,"Magdalenian",12660,140,,,,,"antler","Reindeer",,"Grimm 2019",,,
"OxA-25282","Kůlna Cave","Kulna3",3,,"Magdalenian, Epi-Magdalenian",,,6462,34,,,"antler ","Cervus elaphus ",,"Radiocarbon Palaeolithic Europe Database v27","Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216. Nerudova Z. e.a.  2014. Archäologisches korrespondenzblatt 44: 312.","K2011001",
