Site_ID_split,Level_layer_concentration,TaxUnit,TaxUnit_unique,Timeslice,Long,Lat,Dating_BP,Dating_method,Dating_qual,Site_type,Site_strat,Ass_pos,Ass_coh,Site_fau2,Site_excav,Key_references,Macro_region,Macro_region_code,Site_ID,LabCode/Ref,Site (from main datasheet + 14c-palaeolithic),Site_ID (from main datasheet),Layer/Context (from main datasheet),Additional info on layer/context not originally in the datasheet,TaxUnit (from main datasheet),Conv_C14_date,Conv_std,AMS_C14_date,AMS_Pm/Std,Dated material,Dated species,Informaton on pretreatment,Source (Database/Literature),Org. Lit. Reference (if given),Other comments/observation,median_SPD_age_calBP,oneSigma_rangeMin,oneSigma_rangeMax
Unken,Dunkle humose Schicht,Aziloid Alps,AzilTSG_ASH,4,12.730152,47.644134,"12,000-9,500",C14,Reliable,Rockshelter,Stratified,Secondary/relocated,Homogeneous,TRUE,1950-1980,Windisch 2014,"Austria, Slovakia and Hungary",ASH,Unken,Kiel 1115-1117,Unken,Unken,Dunkle humose Schicht,NA,Aziloid Alps,11250,430,NA,NA,NA,NA,NA,Radiocarbon Palaeolithic Europe Database v27,Neugebauer-Maresch 1999,NA,13157,12736,13590
Elsbethen,"Grabung 1: 2 / Grabung 2: 3a, 4a, 5a",Late Magdalenian,LMag_ASH,1,13.086104,47.763351,"15,000-14,000",Typology,Reliable,Rockshelter,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Rettenbacher 1998,"Austria, Slovakia and Hungary",ASH,Elsbethen,ETH4053,Elsbethen,Elsbethen,Grabung 1: 3a / Grabungs 2: 5b-6a,"Grabung 2, Schicht 5",Aziloid Alps,11620,145,NA,NA,NA,NA,NA,Rettenbacher 1998,Rettenbacher 1998,NA,13268,12929,13593
Elsbethen,"Grabung 1: 2 / Grabung 2: 3a, 4a, 5a",Late Magdalenian,LMag_ASH,1,13.086104,47.763351,"15,000-14,000",Typology,Reliable,Rockshelter,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Rettenbacher 1998,"Austria, Slovakia and Hungary",ASH,Elsbethen,ETH4054,Elsbethen,Elsbethen,Grabung 1: 3a / Grabungs 2: 5b-6a,"Grabung 1, Schicht 2",Aziloid Alps,11180,125,NA,NA,NA,NA,NA,Rettenbacher 1998,Rettenbacher 1998,NA,13268,12929,13593
Elsbethen,Grabung 1: 3a / Grabungs 2: 5b-6a,Aziloid Alps,AzilTSG_ASH,2,13.086104,47.763351,"14,000-13,000",C14,Reliable,Rockshelter,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Rettenbacher 1998,"Austria, Slovakia and Hungary",ASH,Elsbethen,ETH4053,Elsbethen,Elsbethen,Grabung 1: 3a / Grabungs 2: 5b-6a,"Grabung 2, Schicht 5",Aziloid Alps,11620,145,NA,NA,NA,NA,NA,Rettenbacher 1998,Rettenbacher 1998,NA,13268,12929,13593
Elsbethen,Grabung 1: 3a / Grabungs 2: 5b-6a,Aziloid Alps,AzilTSG_ASH,2,13.086104,47.763351,"14,000-13,000",C14,Reliable,Rockshelter,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Rettenbacher 1998,"Austria, Slovakia and Hungary",ASH,Elsbethen,ETH4054,Elsbethen,Elsbethen,Grabung 1: 3a / Grabungs 2: 5b-6a,"Grabung 1, Schicht 2",Aziloid Alps,11180,125,NA,NA,NA,NA,NA,Rettenbacher 1998,Rettenbacher 1998,NA,13268,12929,13593
Seewaende,1 Fundhorizont: Mischung aus Sediment 4 und 7,Aziloid Alps,AzilTSG_ASH,23,10.592923,47.571749,"14,000-12,000",C14,Reliable,Rockshelter,Stratified,Primary/insitu,Homogeneous,FALSE,1980-2000,Gehlen 2001,"Austria, Slovakia and Hungary",ASH,Seewaende,KN-3623 ,Unter den Seewaenden,Seewaende,1 Fundhorizont: Mischung aus Sediment 4 und 7,Oberer Bereich Fundhorizont,Aziloid Alps,11600,250,NA,NA,NA,NA,NA,Gehlen 2001,Gehlen 2001,NA,13382,13117,13596
Seewaende,1 Fundhorizont: Mischung aus Sediment 4 und 7,Aziloid Alps,AzilTSG_ASH,23,10.592923,47.571749,"14,000-12,000",C14,Reliable,Rockshelter,Stratified,Primary/insitu,Homogeneous,FALSE,1980-2000,Gehlen 2001,"Austria, Slovakia and Hungary",ASH,Seewaende,KN-3623,Unter den Seewaenden,Seewaende,1 Fundhorizont: Mischung aus Sediment 4 und 7,Oberer Bereich Fundhorizont,NA,11500,250,NA,NA,NA,NA,NA,Gehlen 2001,Gehlen 2001,NA,13382,13117,13596
Seewaende,1 Fundhorizont: Mischung aus Sediment 4 und 7,Aziloid Alps,AzilTSG_ASH,23,10.592923,47.571749,"14,000-12,000",C14,Reliable,Rockshelter,Stratified,Primary/insitu,Homogeneous,FALSE,1980-2000,Gehlen 2001,"Austria, Slovakia and Hungary",ASH,Seewaende,KN-3624,Unter den Seewaenden,Seewaende,1 Fundhorizont: Mischung aus Sediment 4 und 7,Unterer Bereich Fundhorizont,NA,11400,230,NA,NA,NA,NA,NA,Gehlen 2001,Gehlen 2001,NA,13382,13117,13596
Seewaende,1 Fundhorizont: Mischung aus Sediment 4 und 7,Aziloid Alps,AzilTSG_ASH,23,10.592923,47.571749,"14,000-12,000",C14,Reliable,Rockshelter,Stratified,Primary/insitu,Homogeneous,FALSE,1980-2000,Gehlen 2001,"Austria, Slovakia and Hungary",ASH,Seewaende,KN-3624,Unter den Seewaenden,Seewaende,1 Fundhorizont: Mischung aus Sediment 4 und 7,Unterer Bereich Fundhorizont,NA,11300,230,NA,NA,NA,NA,NA,Gehlen 2001,Gehlen 2001,NA,13382,13117,13596
Altwasser,OK Schicht C; UK Schicht B,Epigravettiano recente,REpigrav_ASH,4,9.476824,47.282723,"12,000-11,000",C14,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Jagher et al. 1997,"Austria, Slovakia and Hungary",ASH,Altwasser,ETH-9641,Altwasserhoehle,Altwasser,OK Schicht C; UK Schicht B,NA,Epigravettiano recente,10240,85,NA,NA,bone,cf. Capra ibex,NA,Radiocarbon Palaeolithic Europe Database v27,"Jagher, et al. 1997. Le Tensorer J.-M. 1998. Le Paléolithique en Suisse. J. Millon.",long bone fragment intentionally broken,11751,11345,11997
