Site_ID_split,Dating_BP,median_SPD_age_calBP,Timeslice,LabCode/Ref,Conv_C14_date,AMS_C14_date
Unken,"12,000-9,500",13157,4,Kiel 1115-1117,11250,NA
Elsbethen,"15,000-14,000",13268,1,ETH4053,11620,NA
Elsbethen,"15,000-14,000",13268,1,ETH4054,11180,NA
Elsbethen,"14,000-13,000",13268,2,ETH4053,11620,NA
Elsbethen,"14,000-13,000",13268,2,ETH4054,11180,NA
Seewaende,"14,000-12,000",13333,23,KN-3623 ,11600,NA
Seewaende,"14,000-12,000",13333,23,KN-3623,11500,NA
Seewaende,"14,000-12,000",13333,23,KN-3624,11400,NA
Seewaende,"14,000-12,000",13333,23,KN-3624,11300,NA
Altwasser,"12,000-11,000",11751,4,ETH-9641,10240,NA
Altwasser,"12,000-11,000",11751,4,ETH-14920,10000,NA
Zoeld,"16,000-14,000",15568,1,Poz-99669,NA,13110
Zoeld,"16,000-14,000",15568,1,DeA-19556,NA,12700
Zoeld,"16,000-14,000",15568,1,Poz-103176,NA,13820
Zoeld,"16,000-14,000",15568,1,Poz-103229,NA,12930
Nadap,"16,000-15,000",15637,1,GrA-16563,NA,13050
BoisLaiterie,12.6 kyr BP,15038,1,OxA-4198,12660,NA
TroudeChaleux,12.9 - 12.7 kyr BP,15222,1,OxA-3632,NA,12790
TroudeChaleux,12.9 - 12.7 kyr BP,15222,1,OxA-4192,NA,12860
TroudeChaleux,12.9 - 12.7 kyr BP,15222,1,OxA-3633,NA,12880
TroudeChaleux,12.9 - 12.7 kyr BP,15222,1,Lv-1136,12710,NA
TroudeChaleux,12.9 - 12.7 kyr BP,15222,1,OxA-V-2216-45,NA,12630
TroudeChaleux,12.9 - 12.7 kyr BP,15222,1,OxA-V-2216-44,NA,12375
TroudeChaleux,12.9 - 12.7 kyr BP,15222,1,Lv-1569,12990,NA
TroudeChaleux,12.9 - 12.7 kyr BP,15222,1,Lv-1568,12370,NA
Rekem,"11,350 BP (OxA-942)",12755,2,OxA-944,NA,6390
Rekem,"11,350 BP (OxA-942)",12755,2,OxA-943,NA,2230
Rekem,"11,350 BP (OxA-942)",12755,2,OxA-1375,NA,5220
Rekem,"11,350 BP (OxA-942)",12755,2,OxA-945,NA,9900
Rekem,"11,350 BP (OxA-942)",12755,2,OxA-942,NA,11350
MilheezeHutseberg1,"11,150 ± 60",12842,2,GrN-2314,10880,NA
MilheezeHutseberg2,"11,150 ± 60",12842,2,GrN-2314,10880,NA
WestelbeersZW,"11,510 ± 60; 11,030 ± 45",13384,2,GrA-20207,NA,11510
Remouchamps,3 dates ranging from 10.8 to 10.3 kyr BP,12301,3,Lv-535,10380,NA
Remouchamps,3 dates ranging from 10.8 to 10.3 kyr BP,12301,3,OxA-4190,NA,10330
Remouchamps,3 dates ranging from 10.8 to 10.3 kyr BP,12301,3,OxA-4191,NA,10800
Remouchamps,3 dates ranging from 10.8 to 10.3 kyr BP,12301,3,OxA-3634,NA,10320
Hostim,16041-13480,14644,1,Ly-1108,12420,NA
Hostim,16041-13480,14644,1,Ly-1180,12420,NA
Pekarna,15190-14263; 15400-14878,15068,1,OxA-5972,NA,12500
Pekarna,15190-14263; 15400-14878,15068,1,GrN-14828,12670,NA
Pekarna,15190-14263; 15400-14878,15068,1,Ly-2553,12940,NA
Kulna6,13538-13217; 13648-13358 (both from layer 6),14648,2,OxA-25290,NA,12555
Kulna6,13538-13217; 13648-13358 (both from layer 6),14648,2,OxA-25288,NA,12600
Kulna6,13538-13217; 13648-13358 (both from layer 6),14648,2,OxA-25287,NA,11010
Kulna6,13538-13217; 13648-13358 (both from layer 6),14648,2,OxA-25291,NA,12620
Kulna6,13538-13217; 13648-13358 (both from layer 6),14648,2,OxA-25289,NA,12575
Kulna6,13538-13217; 13648-13358 (both from layer 6),14648,2,OxA-V-2777-55C,NA,12810
Kulna6,13538-13217; 13648-13358 (both from layer 6),14648,2,OxA-V-2777-56C,NA,11510
Kulna6,13538-13217; 13648-13358 (both from layer 6),14648,2,GrN-11053,11450,NA
Kulna6,13538-13217; 13648-13358 (both from layer 6),14648,2,GrN-5097,11590,NA
Kulna4,13375-13120; 13560-13213,13505,2,OxA-25285,NA,11770
Kulna4,13375-13120; 13560-13213,13505,2,OxA-25284,NA,11820
Kulna4,13375-13120; 13560-13213,13505,2,OxA-25286,NA,11070
Kulna4,13375-13120; 13560-13213,13505,2,GrN-6102,11470,NA
Kulna4,13375-13120; 13560-13213,13505,2,GrN-28450,11270,NA
Kabeliai2,"12,000-11,000",11351,4,Ta-2606,9910,NA
Kabeliai2,"12,000-11,000",11351,4,Ta-2601,9820,NA
GrottaClusantin,"14,800-13,500",13935,12,LTL-1215A,NA,11879
GrottaClusantin,"14,800-13,500",13935,12,LTL-1216A,NA,12256
GrottaClusantin,"14,800-13,500",13935,12,LTL-430A,NA,12004
RiparoDalmeripossiblylayer15,"13,500-13,200",13326,2,KIA-20341,NA,11450
RiparoDalmeriUpperlayers,"13,200-12,500",13075,3,R-657,11250,NA
RiparoDalmeriUpperlayers,"13,200-12,500",13075,3,KI-3634,NA,11260
RiparoDalmeriUpperlayers,"13,200-12,500",13075,3,R-426R,11000,NA
RiparoDalmeriUpperlayers,"13,200-12,500",13075,3,UtC-6777,NA,11100
LaCogolaSU19,"12,900-12,000",12511,3,UtC-9286,NA,10380
LaCogolaSU19,"12,900-12,000",12511,3,UtC-9287,NA,10640
PaluEchen,"12,400-12,000",12143,3,UtC-13428,NA,10320
LaCogolaSU18,"11,400-11,100",11235,4,UtC-9285,NA,9820
RomagnanoLocIIIlayerAE,"11,700-10,900",11099,4,R-1146Aa,9580,NA
RomagnanoLocIIIlayerAE,"11,700-10,900",11099,4,R-1146A,9580,NA
RomagnanoLocIIIlayerAE,"11,700-10,900",11099,4,R-1147,9830,NA
Weitsche,14000-13000,13714,2,KIA-26439,NA,11980
Weitsche,14000-13000,13714,2,KIA-35664,NA,11755
Poggenwisch,15000-14000,14678,1,W-271,11750,NA
Poggenwisch,15000-14000,14678,1,KIA-32926,NA,12365
Poggenwisch,15000-14000,14678,1,KIA-32925,NA,12265
Poggenwisch,15000-14000,14678,1,KIA-32927,NA,12330
Poggenwisch,15000-14000,14678,1,KN-2754,12470,NA
Poggenwisch,15000-14000,14678,1,W-93,15150,NA
Poggenwisch,15000-14000,14678,1,H-32/60,15700,NA
Poggenwisch,15000-14000,14678,1,H-32/118A,17100,NA
Poggenwisch,15000-14000,14678,1,K-4332,12570,NA
Poggenwisch,15000-14000,14678,1,K-4577,12440,NA
Poggenwisch,15000-14000,14678,1,K-4331,12440,NA
Poggenwisch,15000-14000,14678,1,H-31/67,13050,NA
Poggenwisch,15000-14000,14678,1,H-32/118C,12850,NA
Poggenwisch,15000-14000,14678,1,H-136/116,12980,NA
Poggenwisch,15000-14000,14678,1,GrN-11254,12460,NA
Poggenwisch,15000-14000,14678,1,KIA-11171,NA,9992
AhrenshoeftLA58d,14000,13917,2,AAR-2784,NA,12030
Meiendorf,15000-14000,14041,1,W-281,11870,NA
Meiendorf,15000-14000,14041,1,K-4329,12360,NA
Meiendorf,15000-14000,14041,1,Y-158-2,10760,NA
Meiendorf,15000-14000,14041,1,H-38/121B,12300,NA
Meiendorf,15000-14000,14041,1,H-38/121A,12300,NA
Meiendorf,15000-14000,14041,1,KN-2220,12470,NA
Meiendorf,15000-14000,14041,1,W-172,15750,NA
Meiendorf,15000-14000,14041,1,W-264,11790,NA
Meiendorf,15000-14000,14041,1,KIA-12344,NA,9992
HelgaAbri,"15,000-14,300",15470,1,ETH-57286,13081,NA
HelgaAbri,"15,000-14,300",15470,1,ETH-57288,12518,NA
HelgaAbri,"15,000-14,300",15470,1,ETH-57289,12941,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3476,11070,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3478,11290,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3479,10080,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3485,10340,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3488,10400,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3484,10500,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3483,10650,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3477,10880,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3487,11220,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3480,11250,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3474,11300,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3471,11480,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3482,11830,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3486,11910,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3481,12200,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KN-3475,11180,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,H-4273-3537,12120,NA
ZigeunerfelsFG,"14,700-14,300",13231,1,KIA-26997,NA,12196
ZigeunerfelsFG,"14,700-14,300",13231,1,OxA-17268,NA,12375
ZigeunerfelsFG,"14,700-14,300",13231,1,Poz-20321,NA,12150
ZigeunerfelsFG,"14,700-14,300",13231,1,Poz-20368,NA,12300
ZigeunerfelsFG,"14,700-14,300",13231,1,Poz-20369,NA,12430
Felsstalle,"15,000-14,500",14283,1,H-7382-7419,12320,NA
Felsstalle,"15,000-14,500",14283,1,H-7394-7429,11800,NA
Felsstalle,"15,000-14,500",14283,1,H-7391-7426,12050,NA
Felsstalle,"15,000-14,500",14283,1,H-7383-7419,12100,NA
Felsstalle,"15,000-14,500",14283,1,H-7392-7428,12400,NA
Felsstalle,"15,000-14,500",14283,1,H-7393-7428,12680,NA
Felsstalle,"15,000-14,500",14283,1,H-7442-7491,11285,NA
Felsstalle,"15,000-14,500",14283,1,OxA-6427,NA,13390
Felsstalle,"15,000-14,500",14283,1,OxA-6426,NA,12475
