Site_ID_split,Long,Lat,median_SPD_age_calBP,oneSigma_rangeMin,oneSigma_rangeMax
Unken,12.730152,47.644134,13157,12736,13590
Elsbethen,13.086104,47.763351,13268,12929,13593
Seewaende,10.592923,47.571749,13382,13117,13596
Altwasser,9.476824,47.282723,11751,11345,11997
Zoeld,18.984693,47.622886,15448,15072,15735
Nadap,18.577881,47.243813,15637,15534,15758
BoisLaiterie,4.86,50.36,15038,14618,15313
TroudeChaleux,4.95,50.22,15175,14342,15647
Rekem,5.69,50.91,13245,13100,13395
MilheezeHutseberg1,5.81,51.51,12842,12726,12959
MilheezeHutseberg2,5.81,51.51,12842,12726,12959
WestelbeersZW,5.21,51.44,13384,13325,13441
Remouchamps,5.71,50.48,12301,11939,12829
Geldrop32Oost,5.56,51.41,11201,11164,11248
Hostim,14.116111,49.954444,14644,13818,15282
Pekarna,16.746111,49.241944,15068,14475,15357
Kulna6,16.737777,49.408333,14663,12848,15271
Kulna4,16.737777,49.408333,13346,12994,13761
Kabeliai2,24.3,53.98,11351,11179,11692
GrottaClusantin,12.88669,46.24509,13935,13607,14167
RiparoDalmeripossiblylayer15,11.6021,45.99347,13326,13245,13407
RiparoDalmeriUpperlayers,11.6021,45.99347,13075,12922,13231
LaCogolaSU19,11.22979,45.9322,12511,12103,12732
PaluEchen,11.19577,45.91224,12143,11945,12438
LaCogolaSU18,11.22979,45.9322,11235,11191,11267
RomagnanoLocIIIlayerAE,11.10611,46.00724,11099,10721,11395
Weitsche,11.1265,53.0275,13714,13506,13976
Poggenwisch,10.203,53.64,14678,14115,14941
AhrenshoeftLA58d,9.069,54.559,13917,13805,14014
DuvenseeWP8,10.545,53.699,10835,10587,11106
Friesack27a,12.453,52.751,10883,10585,11223
Stellmoor,10.216,53.647,11544,11280,11816
Meiendorf,10.176,53.626,14367,13613,14959
HelgaAbri,9.75384,48.378886,15470,14851,15768
ZigeunerfelsFG,9.159282,48.087509,14238,13815,14804
Felsstalle,9.651667,48.281944,14674,14456,14980
AbriSchweizersbild,8.640156,47.723933,16371,13504,17056
HauteriveChampreveyres,6.971148,47.007249,14452,13802,15056
AbriNeumuhle,7.327545,47.43983,13978,13794,14203
GrottedeBichon,6.849723,47.149998,13463,13254,13759
ZigeunerfelsDE,9.159282,48.087509,13773,13609,13988
BadBuchauKappel,9.594835,48.06538,11525,11398,11687
JagerhaushohleSchicht13,8.96594,48.031201,11203,10787,11599
AbriVionnaz1,6.90619,46.295675,9493,9150,9733
AbriVionnaz2,6.90619,46.295675,9493,9150,9733
Murat,1.5705,44.8039,14804,14437,15206
Imperatrice,-4.375583,48.389083,14409,13808,14825
PortdePenne,0.8045,44.3952,12208,11653,12594
PortdePennerecent,0.8045,44.3952,12208,11653,12594
Peyrazet,1.6108,44.9017,10818,10303,11247
BoisRagotniv5,0.4156,46.2307,15024,14899,15185
BoisRagot,0.4156,46.2307,15024,14899,15185
Klementowice20,22.14915706,51.34101435,15182,15040,15302
Wilczyce10,21.65624781,50.74282216,15319,14850,15914
Mirkowice33,17.4056351347,52.7735220745,14266,14084,14780
NowaBiala1,20.12488947,49.42907421,13166,13104,13230
Rotnowo18ll,15.30020125,53.88613193,13003,12927,13093
Witow5Cassemblage1,19.51750195,52.01168707,12789,12624,12963
Rotnowo18,15.30020125,53.88613193,12775,12727,12824
Bolkow1,14.35293003,53.55252203,11020,10816,11192
Kochlew1,18.78315089,51.20428414,12051,11740,12583
WojnowoAcutI75,15.78867954,52.1066325,12094,11823,12434
WojnowoAcutIII5,15.78867954,52.1066325,12094,11823,12434
WojnowoAcutIII75,15.78867954,52.1066325,12094,11823,12434
SantimamineSlnc,-2.6371000000000002,43.3453,15263,15136,15362
AntonKobaVIII,-2.41147,42.99996,13630,13312,13986
LosAzulesUnit3,-4.94124,43.38246,12416,12107,12693
Perro2,-3.43338,43.45226,11784,11405,11994
ParcoII,0.95454,41.92119,15510,14526,15896
HortdelaBoquera,0.7561,41.2896,13725,13520,14155
Roureda,-0.23087,40.42109,13234,13173,13298
CingledelAigua,0.15444,40.5285,12544,12478,12661
Pena14,-0.93779,42.37476,12004,11643,12469
Filador4,0.7638,41.27745,11262,10568,11747
AtxosteVIb,-2.4731,42.7575,10864,10700,11069
LapadosCoelhos4,-8.6154,39.5046,14167,14064,14241
LapadosCoelhos3,-8.6154,39.5046,13518,13463,13589
Fariseu4,-7.1088,41.0411,12550,12482,12614
FariseuSU4,-7.1088,41.0411,12550,12482,12614
Bocas0,-8.96948173471,39.3457355218,11383,10892,11810
SlotsengC,9.27,55.33,14613,14301,14890
SlotsengB,9.26,55.33,14121,13894,14293
Bromme,11.5,55.49,12704,12624,12755
Trollesgave,11.81,55.28,12898,12729,13087
Barmosen1,11.89,55.05,10356,10194,10643
Klosterlund,9.35,56.19,10313,9964,10641
SyltholmVII,11.39,54.65,11493,11340,11683
Drave611,8.98,55.02,10260,9910,10565
LeCloseauLocus4,2.158193,48.869548,13864,13094,14094
LeCloseauLocus14,2.158193,48.869548,12657,12482,12832
LeCloseauLocus20,2.158193,48.869548,12657,12482,12832
LeCloseauLocus26,2.158193,48.869548,12657,12482,12832
LeCloseauLocus34,2.158193,48.869548,12657,12482,12832
LeCloseauLocus36,2.158193,48.869548,12657,12482,12832
Alizay,1.16366918862756,49.3158939921655,11379,11267,11598
