row_ID,Timeslice,TaxUnit,Region,Site,ShortImageRef,ToolClass,KnappingDirection,IMAGE,ARTEFACTNAME,SCALE,Timeslice_range_from,Timeslice_range_to,Long,Lat,length_cm,width_cm,area_cm2,perimeter_cm,calliper_cm,circularity,eccentricityeigen,AD,BC,amp,sym,median_SPD_age_calBP,oneSigma_rangeMin,oneSigma_rangeMax,Event
1,TS1,LEpigrav,ASH,Nadap,DobosiEtAl1988,AR,NA,TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_3,TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_3_pseudo_no_18,0.013089,1,1,18.577881,47.243813,1.66,0.47,0.49,3.64,1.66,2.27,0.09,0.153590566120286,2.2585964867791,2.41218705289938,0.063672742930808,15637,15534,15758,GS-2
2,TS1,FMag,IBM,ParcoII,Langlais2007,AR,NA,TS1_FMag_IBM_ParcoII_Langlais2007_AR_na_1,TS1_FMag_IBM_ParcoII_Langlais2007_AR_na_1_pseudo_no_20,0.016666,1,1,0.95454,41.92119,1.53,0.33,0.38,3.3,1.54,2.19,0.08,0.259883687603724,2.12853105389383,2.38841474149756,0.108810117057298,15510,14526,15896,GS-2
3,TS1,TransMag,SG,HelgaAbri,Hess2019,AR,D,TS1_TransMag_SG_HelgaAbri_Hess2019_AR_d_1,TS1_TransMag_SG_HelgaAbri_Hess2019_AR_d_1_pseudo_no_16,0.022056,1,1,9.75384,48.378886,1.9,0.78,1.19,4.65,1.92,3.17,0.24,0.330905707367237,2.28700660763152,2.61791231499876,0.126400607641205,15470,14851,15768,GS-2
4,TS1,LEpigrav,ASH,Zoeld,BeresEtAl2020,AR,P,TS1_LEpigrav_ASH_Zoeld_BeresEtAl2020_AR_p_1,TS1_LEpigrav_ASH_Zoeld_BeresEtAl2020_AR_p_1_pseudo_no_1,0.006738,1,1,18.984693,47.622886,5.09,1.31,4.69,11.15,5.1,2.37,0.1,0.274455110228183,2.21139550000106,2.48585061022924,0.11040692031082,15448,15072,15735,GS-2
5,TS1,Mag,PL,Wilczyce10,Krolik2014,AR,NA,TS1_Mag_PL_Wilczyce10_Krolik2014_AR_na_4,TS1_Mag_PL_Wilczyce10_Krolik2014_AR_na_4_pseudo_no_1,0.006507,1,1,21.65624781,50.74282216,5.14,1.21,4.82,11.41,5.16,2.25,0.09,0.546922654981337,2.08596129222502,2.63288394720636,0.207727596790453,15319,14850,15914,GS-2
6,TS1,FMag,IBC,SantimamineSlnc,LopezQuintana2011,AR,NA,TS1_FMag_IBC_SantimamineSlnc_LopezQuintana2011_AR_na_1,TS1_FMag_IBC_SantimamineSlnc_LopezQuintana2011_AR_na_1_pseudo_no_17,0.014181,1,1,-2.6371000000000002,43.3453,2.76,0.76,1.51,6.19,2.77,2.36,0.1,0.426392944122691,2.16577147885184,2.59216442297454,0.164493016084759,15263,15136,15362,GS-2
7,TS1,Mag,PL,Klementowice20,WisniewskiT2015,AR,NA,TS1_Mag_PL_Klementowice20_WisniewskiT2015_AR_na_9,TS1_Mag_PL_Klementowice20_WisniewskiT2015_AR_na_9_pseudo_no_1,0.005525,1,1,22.14915706,51.34101435,4.72,1.49,4.74,10.41,4.72,2.62,0.14,0.463010321822999,2.16741691832899,2.63042724015199,0.176020957643461,15182,15040,15302,GS-2
8,TS1,Mag,BSN,TroudeChaleux,Otte1994,AR,D,TS1_Mag_BSN_TroudeChaleux_Otte1994_AR_D_1,TS1_Mag_BSN_TroudeChaleux_Otte1994_AR_D_1_pseudo_no_16,0.032877,1,1,4.95,50.22,3.45,0.95,2.59,7.68,3.45,2.43,0.12,0.244233716575769,2.18175200253185,2.42598571910762,0.100674012485782,15175,14342,15647,GS-2
9,TS1,Mag,BOMO,Pekarna,Valoch2001,AR,NA,TS1_Mag_BOMO_Pekarna_Valoch2001_AR_na_1,TS1_Mag_BOMO_Pekarna_Valoch2001_AR_na_1_pseudo_no_7,0.019227,1,1,16.746111,49.241944,3.46,0.75,2.2,7.62,3.46,2.22,0.09,0.360513818826253,2.0821202013364,2.44263402016266,0.14759223684367,15068,14475,15357,GS-2
10,TS1,Mag,BSN,BoisLaiterie,OtteStraus1997,AR,NA,TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_AR_NA_2,TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_AR_NA_2_pseudo_no_3,0.033106,1,1,4.86,50.36,3.38,0.79,2.05,7.37,3.38,2.26,0.09,0.422897005223204,2.1132366342399602,2.53613363946317,0.166748707025045,15038,14618,15313,GS-2
11,TS1,UMag,SWF,BoisRagot,Langlais2018,AR,NA,TS1_UMag_SWF_BoisRagot_Langlais2018_AR_na_1,TS1_UMag_SWF_BoisRagot_Langlais2018_AR_na_1_pseudo_no_22,0.01724,1,1,0.4156,46.2307,2.38,0.58,1.05,5.32,2.39,2.27,0.09,0.320819953075441,2.12458395236185,2.44540390543729,0.131193032104883,15024,14899,15185,GS-2
