TAXA_PC,Taxa,traits,current_model,clockmodel,medianRate,varianceRate
TAXA_16_PCs_10,16,10,FBD_constant_rate_age_uncertainty,nCat,2.830900364940357e-4,1.2296751363326448e-5
TAXA_16_PCs_10,16,10,FBD_constant_rate_age_uncertainty_woffset,nCat,3.719841561470612e-4,1.9147609179990155e-5
TAXA_16_PCs_10,16,10,FBD_constant_rates,nCat,2.3601176023541385e-4,2.4111753403577535e-6
TAXA_16_PCs_10,16,10,FBD_skyline_age_uncertainty,nCat,2.0965634016722456e-4,2.9813926010255733e-7
TAXA_16_PCs_10,16,10,FBD_skyline,nCat,1.857256224744351e-4,6.499447256506008e-7
TAXA_16_PCs_10,16,10,ULNC_FBD_constant_rate_age_uncertainty,ULNC,2.398580891108731e-4,3.1830339147844876e-8
TAXA_16_PCs_10,16,10,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,3.4853187989487486e-4,4.702996324525353e-8
TAXA_16_PCs_10,16,10,ULNC_FBD_constant_rates,ULNC,1.8759513248779646e-4,3.1104488915958416e-8
TAXA_16_PCs_10,16,10,ULNC_FBD_skyline_age_uncertainty,ULNC,1.785007338065252e-4,3.305279994580748e-8
TAXA_16_PCs_10,16,10,ULNC_FBD_skyline,ULNC,1.6588561044465208e-4,3.5872284671958016e-8
TAXA_16_PCs_2,16,2,FBD_constant_rate_age_uncertainty,nCat,0.002020281177185518,1.616201120948498e-4
TAXA_16_PCs_2,16,2,FBD_constant_rate_age_uncertainty_woffset,nCat,0.003254106033583364,4.536942602592249e-4
TAXA_16_PCs_2,16,2,FBD_constant_rates,nCat,0.002148005618306163,8.523884125842495e-4
TAXA_16_PCs_2,16,2,FBD_skyline_age_uncertainty,nCat,0.0012722783468853392,1.9426690724330523e-4
TAXA_16_PCs_2,16,2,FBD_skyline,nCat,9.805474520510778e-4,1.9205647309641937e-4
TAXA_16_PCs_2,16,2,ULNC_FBD_constant_rate_age_uncertainty,ULNC,0.0018950189899058834,1.9014547138975045e-5
TAXA_16_PCs_2,16,2,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,0.004514655806715852,1.0172594481687412e-4
TAXA_16_PCs_2,16,2,ULNC_FBD_constant_rates,ULNC,0.0016928652430696944,1.6530765161923902e-5
TAXA_16_PCs_2,16,2,ULNC_FBD_skyline_age_uncertainty,ULNC,0.0012122749151749872,6.0634839647267444e-6
TAXA_16_PCs_2,16,2,ULNC_FBD_skyline,ULNC,0.0011819955332446497,5.882714994605548e-6
TAXA_16_PCs_20,16,20,FBD_constant_rate_age_uncertainty,nCat,3.624982207975251e-5,1.458547045787777e-6
TAXA_16_PCs_20,16,20,FBD_constant_rate_age_uncertainty_woffset,nCat,4.931683585067407e-5,5.913989415282224e-6
TAXA_16_PCs_20,16,20,FBD_constant_rates,nCat,2.6200574862600983e-5,8.344209966175102e-7
TAXA_16_PCs_20,16,20,FBD_skyline_age_uncertainty,nCat,2.5969798667348702e-5,2.2059572939922963e-6
TAXA_16_PCs_20,16,20,FBD_skyline,nCat,2.0623146239046547e-5,4.781566683849179e-7
TAXA_16_PCs_20,16,20,ULNC_FBD_constant_rate_age_uncertainty,ULNC,1.772801312565242e-5,4.442358939066386e-10
TAXA_16_PCs_20,16,20,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,5.5462267329080766e-5,8.737258244657997e-10
TAXA_16_PCs_20,16,20,ULNC_FBD_constant_rates,ULNC,1.2701122627805286e-5,3.7062025985466977e-10
TAXA_16_PCs_20,16,20,ULNC_FBD_skyline_age_uncertainty,ULNC,1.7788366868132735e-5,6.453720623930952e-10
TAXA_16_PCs_20,16,20,ULNC_FBD_skyline,ULNC,1.6374676028838076e-5,6.416621547981825e-10
TAXA_16_PCs_3,16,3,FBD_constant_rate_age_uncertainty,nCat,0.001455691443452025,2.1214646686767763e-4
TAXA_16_PCs_3,16,3,FBD_constant_rate_age_uncertainty_woffset,nCat,0.002890342215809623,3.12864840760227e-4
TAXA_16_PCs_3,16,3,FBD_constant_rates,nCat,0.0012059468775727396,9.320622261621775e-5
TAXA_16_PCs_3,16,3,FBD_skyline_age_uncertainty,nCat,9.979815142119016e-4,4.809923519037999e-5
TAXA_16_PCs_3,16,3,FBD_skyline,nCat,8.579702118364303e-4,5.901956960999448e-5
TAXA_16_PCs_3,16,3,ULNC_FBD_constant_rate_age_uncertainty,ULNC,0.001651574237222043,7.0450897654875265e-6
TAXA_16_PCs_3,16,3,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,0.002259212538240538,8.510080189423068e-6
TAXA_16_PCs_3,16,3,ULNC_FBD_constant_rates,ULNC,0.0014723223970534314,6.969711868684399e-6
TAXA_16_PCs_3,16,3,ULNC_FBD_skyline_age_uncertainty,ULNC,0.0010298562338860247,1.6656227585752742e-6
TAXA_16_PCs_3,16,3,ULNC_FBD_skyline,ULNC,9.55305916142005e-4,1.7356985026960934e-6
TAXA_16_PCs_6,16,6,FBD_constant_rate_age_uncertainty,nCat,6.70457086704783e-4,1.072514685049699e-5
TAXA_16_PCs_6,16,6,FBD_constant_rate_age_uncertainty_woffset,nCat,0.0010055521417014779,4.5401416524094114e-5
TAXA_16_PCs_6,16,6,FBD_constant_rates,nCat,5.705408104485102e-4,1.2564540780512883e-5
TAXA_16_PCs_6,16,6,FBD_skyline_age_uncertainty,nCat,4.799671645197846e-4,1.604041587425478e-5
TAXA_16_PCs_6,16,6,FBD_skyline,nCat,4.200080428889604e-4,1.1930094826779461e-5
TAXA_16_PCs_6,16,6,ULNC_FBD_constant_rate_age_uncertainty,ULNC,6.371784051824967e-4,1.9351901001352162e-7
TAXA_16_PCs_6,16,6,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,6.8333622046459e-4,1.439248570488237e-7
TAXA_16_PCs_6,16,6,ULNC_FBD_constant_rates,ULNC,5.090461892753912e-4,1.7672586247755794e-7
TAXA_16_PCs_6,16,6,ULNC_FBD_skyline_age_uncertainty,ULNC,4.509965675062098e-4,9.571141152738555e-8
TAXA_16_PCs_6,16,6,ULNC_FBD_skyline,ULNC,0.00039198791399066923,5.858618334326424e-8
TAXA_16_PCs_9,16,9,FBD_constant_rate_age_uncertainty,nCat,3.516149344201763e-4,3.423381932482722e-7
TAXA_16_PCs_9,16,9,FBD_constant_rate_age_uncertainty_woffset,nCat,3.4826263692575086e-4,5.081184604935384e-6
TAXA_16_PCs_9,16,9,FBD_constant_rates,nCat,2.9839994864944256e-4,1.1730729633578326e-7
TAXA_16_PCs_9,16,9,FBD_skyline_age_uncertainty,nCat,2.860323277131672e-4,1.5023186586266804e-6
TAXA_16_PCs_9,16,9,FBD_skyline,nCat,2.414296428174999e-4,1.216010192019168e-8
TAXA_16_PCs_9,16,9,ULNC_FBD_constant_rate_age_uncertainty,ULNC,3.456225027090423e-4,1.671019025041633e-8
TAXA_16_PCs_9,16,9,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,4.0613752660531577e-4,1.2363473963879703e-8
TAXA_16_PCs_9,16,9,ULNC_FBD_constant_rates,ULNC,2.8148924065641103e-4,1.4293227560885879e-8
TAXA_16_PCs_9,16,9,ULNC_FBD_skyline_age_uncertainty,ULNC,2.741518904437266e-4,8.219925347548983e-9
