lower,med,upper,item,Event,taxa,traits
3.7473852643401085e-6,0.04208417471458583,0.17845029923992065,Death,GS-2,16,2
4.639335616573599e-6,0.057396360379210684,0.23979661331489668,Death,GI-1,16,2
1.3325325479309211e-6,0.061961348480221834,0.2606286402827597,Death,GS-1,16,2
1.7003165346139087e-5,0.0653364844005657,0.28371383581151005,Death,Holocene,16,2
0.05657541002614843,0.30884282195349616,0.6514177861493218,Birth,GS-2,16,2
1.765748413661595e-6,0.11160850839917229,0.44198900383057776,Birth,GI-1,16,2
3.7951729877238143e-6,0.08317852656270419,0.35487031741367875,Birth,GS-1,16,2
6.849089056913629e-8,0.07465932561254196,0.32378087838921393,Birth,Holocene,16,2
0.009689047597055463,0.2483752912288732,0.6160517954830741,Diversification,GS-2,16,2
-0.22507734908826416,0.044910639102687694,0.4308612580327826,Diversification,GI-1,16,2
-0.25190463359079834,0.016701301557794673,0.35036749334261313,Diversification,GS-1,16,2
-0.27292684287528346,0.005847048331600213,0.3232204951031953,Diversification,Holocene,16,2
1.474516913236511e-5,0.14291530041903977,0.6286418932346302,Turnover,GS-2,16,2
1.898530293552338e-5,0.510531564216849,9.289430759870646,Turnover,GI-1,16,2
2.6271331120572984e-5,0.7401142317735533,13.422346834598235,Turnover,GS-1,16,2
3.503043611240529e-5,0.8891879668261204,16.7171932316759,Turnover,Holocene,16,2
5.716907917725692e-7,0.0469477112192091,0.19785341984946406,Death,GS-2,16,9
5.339706828095557e-7,0.059292816089045956,0.24939375053259255,Death,GI-1,16,9
6.637527917366366e-6,0.06115334973494486,0.2594544589192837,Death,GS-1,16,9
8.234695435388147e-7,0.0638698962936738,0.27555203842316855,Death,Holocene,16,9
0.03746998531104457,0.23050623995178568,0.5330079313302047,Birth,GS-2,16,9
7.627285961280848e-7,0.2570509374211522,0.6600062624323749,Birth,GI-1,16,9
4.607282323409487e-7,0.09109088734082504,0.3780276660891516,Birth,GS-1,16,9
2.6324406346700266e-7,0.0754608058757272,0.32614477981058654,Birth,Holocene,16,9
-0.05341802891180494,0.16765642617870669,0.4877503650095077,Diversification,GS-2,16,9
-0.16289116999650793,0.1802234288292851,0.6466287874428551,Diversification,GI-1,16,9
-0.2498616607560659,0.024102910983157484,0.3748448975523741,Diversification,GS-1,16,9
-0.2709499787328649,0.008884457170917077,0.3310676778685309,Diversification,Holocene,16,9
3.3364958585857137e-6,0.20937737426238726,0.9596321567419293,Turnover,GS-2,16,9
1.2055348461539702e-6,0.24311308309667892,2.4486061851068333,Turnover,GI-1,16,9
4.8263025995668314e-5,0.6735332216816646,12.153915441405797,Turnover,GS-1,16,9
1.669878173562429e-5,0.8481026820765138,15.74850826604348,Turnover,Holocene,16,9
8.463658172523518e-6,0.0491482226015672,0.20888114883862288,Death,GS-2,16,44
3.82246198072239e-6,0.057926587764162485,0.24602086436396797,Death,GI-1,16,44
1.3013621585677451e-5,0.06739372585445086,0.29342314517014917,Death,GS-1,16,44
6.011701639160665e-7,0.06522431013545395,0.2786844717592193,Death,Holocene,16,44
0.1124946401290932,0.41560454889238013,0.7728639579652768,Birth,GS-2,16,44
6.0761202777278104e-6,0.11389880200999465,0.5980286597654638,Birth,GI-1,16,44
1.7764670481163277e-8,0.0780589415286178,0.33259279318867857,Birth,GS-1,16,44
5.138613139256511e-6,0.07242335668366343,0.3087946758790011,Birth,Holocene,16,44
0.048667944995782975,0.34636218027731175,0.7115889733231112,Diversification,GS-2,16,44
-0.25906867310677284,0.0485778689778513,0.585829139450238,Diversification,GI-1,16,44
-0.2891944972578696,0.007615926385273206,0.3261235405460145,Diversification,GS-1,16,44
-0.2725453381599373,0.005044119679204796,0.315019311168958,Diversification,Holocene,16,44
1.4482581284421118e-5,0.1237459518185736,0.5264369362188981,Turnover,GS-2,16,44
1.50808786472654e-5,0.48470101444819413,9.218273783703761,Turnover,GI-1,16,44
1.0234263026567249e-4,0.8662633184085969,16.32799371635053,Turnover,GS-1,16,44
7.107111720337154e-6,0.9089531810328277,18.319088415233832,Turnover,Holocene,16,44
1.6165555957347598e-5,0.03642800742518856,0.16346850890103645,Death,GS-2,87,2
8.62619076363933e-6,0.05379930175779645,0.21164192725391984,Death,GI-1,87,2
1.3478193981192868e-5,0.06323193156656436,0.25815651679378177,Death,GS-1,87,2
4.1638717169872605e-6,0.06561160705628238,0.28104748216603165,Death,Holocene,87,2
0.3876117093633035,0.7853862540090661,1.2608565896931083,Birth,GS-2,87,2
7.742470061894258e-6,0.08981657709644521,0.3445272863725955,Birth,GI-1,87,2
7.438028754069596e-6,0.06588159101227743,0.28245040694822304,Birth,GS-1,87,2
7.724718055916846e-6,0.07210483540803299,0.3104156760014744,Birth,Holocene,87,2
0.3556278278470323,0.7329567886688528,1.218379968097061,Diversification,GS-2,87,2
-0.2037357072279354,0.029095945563581513,0.31045072839447974,Diversification,GI-1,87,2
-0.2583388075508174,0.003174824434397691,0.2721194123795513,Diversification,GS-1,87,2
-0.26506871104961816,0.004979907563374752,0.3074727493820508,Diversification,Holocene,87,2
1.962194036350596e-5,0.04756952499639262,0.1986570094736382,Turnover,GS-2,87,2
2.9550996361361394e-5,0.6019817526212026,9.258160238666486,Turnover,GI-1,87,2
4.98730569972684e-5,0.9348851228497681,17.305786886062073,Turnover,GS-1,87,2
6.619622639959463e-5,0.9033161969221662,16.791292038840147,Turnover,Holocene,87,2
6.8321488239553555e-07,0.03677630539528855,0.15918011689340256,Death,GS-2,87,9
2.41821464372266e-6,0.07552842284880792,0.29867304244748316,Death,GI-1,87,9
9.935712742664454e-6,0.0884654053413059,0.36398167543519244,Death,GS-1,87,9
9.606715984718144e-6,0.06992830638648949,0.30510586770698356,Death,Holocene,87,9
0.8627332110742812,1.323631552312511,1.8362707469489294,Birth,GS-2,87,9
2.902706451957052e-6,0.06750828239577071,0.2700489220963905,Birth,GI-1,87,9
3.4952780292916267e-6,0.05543164375191521,0.24206536087661118,Birth,GS-1,87,9
6.5974036515494545e-6,0.0678051782602329,0.3050666282645422,Birth,Holocene,87,9
0.8279367073412053,1.27104402453215,1.7899168139789103,Diversification,GS-2,87,9
-0.2902619941847875,-0.005903118776767854,0.24358948252782606,Diversification,GI-1,87,9
-0.3516311076929005,-0.02560503761085272,0.2400739952361809,Diversification,GS-1,87,9
-0.31607998036785717,-3.8519408826153886e-4,0.29600579338291644,Diversification,Holocene,87,9
6.768781973445384e-7,0.02796284153156563,0.11746525088203481,Turnover,GS-2,87,9
3.0712305249229485e-5,1.1147103662335,19.688355151885325,Turnover,GI-1,87,9
1.0943573626795055e-4,1.5733464062260438,27.93624789032203,Turnover,GS-1,87,9
1.3752516807317094e-4,1.0077974584517484,20.98735110889671,Turnover,Holocene,87,9
2.8117616452270705e-6,0.051596566301982276,0.21569451168468862,Death,GS-2,87,44
2.201003788543157e-5,0.08252073837090686,0.31588720977659906,Death,GI-1,87,44
3.3772624822753895e-5,0.08903478366295783,0.3699079359255485,Death,GS-1,87,44
1.1452193687230865e-4,0.06840018050037021,0.2900637919685755,Death,Holocene,87,44
0.29113187455734907,0.5167939584121588,0.776429028903249,Birth,GS-2,87,44
4.6642192836356975e-5,0.061276579841147906,0.24965430370263397,Birth,GI-1,87,44
3.746327966394981e-6,0.05247858889760044,0.22569756449165984,Birth,GS-1,87,44
1.2805750365948503e-5,0.07061650773402883,0.28342344317156914,Birth,Holocene,87,44
0.23907613576826814,0.44716403572001157,0.6978597803902234,Diversification,GS-2,87,44
-0.2860102079994405,-0.0144798671237477,0.22346313753590885,Diversification,GI-1,87,44
-0.3572330757382654,-0.029034069090569756,0.2318531931145219,Diversification,GS-1,87,44
-0.28158444957398904,2.174237662592518e-4,0.2840367061564432,Diversification,Holocene,87,44
4.39557704370066e-6,0.10255049170861899,0.36375558146173526,Turnover,GS-2,87,44
1.1780132531793944e-4,1.301053133458769,21.645095606461272,Turnover,GI-1,87,44
0.0010856742582179863,1.6802042479761123,33.56291766127982,Turnover,GS-1,87,44
4.359785888201146e-4,0.9941205466612764,16.59347812758428,Turnover,Holocene,87,44
